phen_name	herb_name
Parkinson Disease	Cuminum cyminum
Parkinson Disease	Garcinia mangostana
Parkinson Disease	Agaricus stevensii
Parkinson Disease	Cyperus rotundus
Parkinson Disease	Citrus unshiu
Parkinson Disease	Morinda citrifolia
Parkinson Disease	Campylotropis hirtella
Parkinson Disease	Aronia melanocarpa
Parkinson Disease	Eryngium
Parkinson Disease	Carthamus tinctorius
Parkinson Disease	Agaricus bisporiticus
Parkinson Disease	Daphne genkwa
Parkinson Disease	Moringa oleifera
Parkinson Disease	Alpinia oxyphylla
Parkinson Disease	Geum urbanum
Parkinson Disease	Lavandula angustifolia
Parkinson Disease	Coptis chinensis
Parkinson Disease	Sigesbeckia pubescens
Parkinson Disease	Peganum harmala
Parkinson Disease	Urtica dioica
Parkinson Disease	Agaricus blazei
Parkinson Disease	Calyptranthes grandifolia
Parkinson Disease	Bupleurum falcatum
Parkinson Disease	Hericium erinaceus
Parkinson Disease	Cistanche tubulosa
Parkinson Disease	Humulus japonicus
Parkinson Disease	Epimedium sagittatum
Parkinson Disease	Triticum aestivum
Parkinson Disease	Rhus typhina
Parkinson Disease	Epimedium koreanum
Parkinson Disease	Borago officinalis
Parkinson Disease	Aloe arborescens
Parkinson Disease	Boletus pseudopinophilus
Parkinson Disease	Senna tora
Parkinson Disease	Calotropis gigantea
Parkinson Disease	Passiflora cincinnata
Parkinson Disease	Passiflora incarnata
Parkinson Disease	Marasmius calvocystidiatus
Parkinson Disease	Brassica napus
Parkinson Disease	Achillea
Parkinson Disease	Scutellaria pinnatifida
Parkinson Disease	Calamintha
Parkinson Disease	Linaria
Parkinson Disease	Achyranthes bidentata
Parkinson Disease	Pseudotricholoma metapodium
Parkinson Disease	Maclura tricuspidata
Parkinson Disease	Hibiscus sabdariffa
Parkinson Disease	Citrus limon
Parkinson Disease	Garcinia kola
Parkinson Disease	Aspidosperma pyrifolium
Parkinson Disease	Aspidosperma
Parkinson Disease	Anacardium occidentale
Parkinson Disease	Crataegus pinnatifida
Parkinson Disease	Chlamydomonas reinhardtii
Parkinson Disease	Dendropanax morbifer
Parkinson Disease	Tussilago farfara
Parkinson Disease	Morus nigra
Parkinson Disease	Gastrodia
Parkinson Disease	Curcuma phaeocaulis
Parkinson Disease	Clematis terniflora
Parkinson Disease	Paullinia cupana
Parkinson Disease	Solanum dulcamara
